Ticker,Mean (ms),Median (ms),Min (ms),Max (ms)
CTKUSDT,750.683544921875,550.8798828125,129.860107421875,1842.287841796875
ORNUSDT,460.64585658482144,353.1175537109375,97.139892578125,1496.5048828125
ANTUSDT,391.761181640625,199.764892578125,96.934814453125,1100.31298828125
DUSKUSDT,149.77028111049108,149.3599853515625,79.696044921875,272.30810546875
SANDUSDT,116.5306396484375,105.1346435546875,79.032958984375,186.592041015625
SUNUSDT,747.08056640625,710.302978515625,330.430908203125,1339.053955078125
ALPHAUSDT,166.45047433035714,137.93701171875,83.77099609375,322.696044921875
XEMUSDT,307.8539515904018,195.8651123046875,114.27099609375,1299.85791015625
COTIUSDT,126.52054268973214,128.9693603515625,79.0869140625,191.529296875
PERPUSDT,139.30843680245536,133.866943359375,84.780517578125,253.245849609375
MASKUSDT,191.37116350446428,159.7835693359375,77.98193359375,446.219970703125
HNTUSDT,374.5812465122768,165.611572265625,89.738037109375,1117.837890625
IOTXUSDT,159.62772042410714,140.3590087890625,86.0380859375,403.886962890625
CTSIUSDT,213.20521763392858,151.8482666015625,77.830810546875,517.6572265625
REEFUSDT,296.78505161830356,175.3265380859375,74.862060546875,711.51611328125
